order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,restaurant_location,customer_location
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28,"(40.7244607, -73.9909251)","(40.704338961290055, -73.93410726341361)"
1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21,"(40.7244607, -73.9909251)","(40.72163613220169, -73.93767153557106)"
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20,"(40.7079524, -74.0078296)","(40.73939194087389, -74.03712721671276)"
1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,"(40.7228449, -73.9942284)","(40.76647592828273, -74.01338525524777)"
1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26,"(40.7272539, -74.0075081)","(40.734436281263534, -73.94705683801685)"
1478077,82041,Shake Shack,American,33.03,Weekday,Not given,22,32,"(40.7513742, -73.9878729)","(40.80660204904914, -74.0069685052797)"
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,"(40.6249044, -73.962921)","(40.61327775584933, -73.89555905156516)"
1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,"(40.7820656, -73.9806368)","(40.75396741122069, -73.94813203544204)"
1477915,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22,"(40.7219323, -73.9976726)","(40.74834337342389, -73.96571331363302)"
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,"(40.7244607, -73.9909251)","(40.74493972332131, -73.95131680110828)"
1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21,"(40.7513742, -73.9878729)","(40.72303611192492, -73.95169309355612)"
1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23,"(40.7513742, -73.9878729)","(40.7872790967649, -74.0035941631345)"
1477730,50616,Parm,Italian,13.05,Weekend,Not given,28,27,"(40.7230381, -73.9957182)","(40.676529945397654, -74.00488577925036)"
1477821,277898,Haandi,Indian,5.67,Weekday,4,23,31,"(40.7424095, -73.9824519)","(40.77769000093682, -74.04472135645767)"
1477104,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25,"(40.7651951, -73.9874674)","(40.75400532176977, -73.93181361637258)"
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,"(40.7526965, -73.9846551)","(40.70614381657814, -73.97114371658186)"
1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30,"(40.7341879, -74.0064162)","(40.69471974890205, -73.95830052556089)"
1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,"(40.7875393, -73.9764459)","(40.82549631920428, -74.00686133870441)"
1477975,56722,Shake Shack,American,9.75,Weekend,5,33,25,"(40.7513742, -73.9878729)","(40.758805589321554, -74.04248052847679)"
1477790,133617,Shake Shack,American,4.75,Weekday,4,35,28,"(40.7513742, -73.9878729)","(40.79317282495778, -74.01396824932826)"
1478423,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16,"(40.7651951, -73.9874674)","(40.793164956256604, -73.98284486601804)"
1477051,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28,"(40.7338759, -73.993044)","(40.6922994628993, -73.97744186841292)"
1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,"(40.7625746, -73.9714449)","(40.73927948343669, -74.01017053471004)"
1478183,329710,Shake Shack,American,5.72,Weekday,3,31,24,"(40.7513742, -73.9878729)","(40.73034937980457, -74.02286508436188)"
1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,"(40.7424809, -73.982394)","(40.72156087602886, -73.90970504721206)"
1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,"(40.7341879, -74.0064162)","(40.759945127142004, -73.97229930666529)"
1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32,"(40.7401797, -74.0019721)","(40.69888602210997, -73.95290325029247)"
1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22,"(40.7244607, -73.9909251)","(40.722404283610885, -74.04241952656677)"
1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,"(40.7244607, -73.9909251)","(40.75421146589075, -74.03083352797101)"
1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,"(40.7513742, -73.9878729)","(40.74771215510119, -74.04177910233595)"
1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25,"(40.7228449, -73.9942284)","(40.7441754937566, -73.94269627678524)"
1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,"(40.7227225, -73.9961142)","(40.68024179871121, -74.01718099603066)"
1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33,"(40.7244607, -73.9909251)","(40.757907604870276, -74.04988314082016)"
1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,"(40.7079524, -74.0078296)","(40.670887539741244, -73.98906267120252)"
1478408,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25,"(40.7651951, -73.9874674)","(40.73527852833738, -74.03827142316787)"
1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,"(40.7625746, -73.9714449)","(40.755670086260785, -74.04492612167986)"
1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,"(40.7079524, -74.0078296)","(40.69408605421948, -74.05894114801612)"
1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,"(40.7079524, -74.0078296)","(40.70950896051086, -74.06639708325524)"
1477364,125123,Shake Shack,American,21.83,Weekend,Not given,23,22,"(40.7513742, -73.9878729)","(40.72748651304754, -73.94658617306555)"
1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28,"(40.7431934, -73.9801954)","(40.786442906408354, -73.99452185867705)"
1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,"(40.716972, -74.0078817)","(40.761102910601615, -74.04960355325164)"
1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,"(40.7230381, -73.9957182)","(40.76619615440879, -73.96225180522093)"
1477552,137565,Shake Shack,American,31.29,Weekday,Not given,26,32,"(40.7513742, -73.9878729)","(40.69526753927713, -74.01506325205656)"
1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,"(40.7244607, -73.9909251)","(40.7710938372308, -73.94664922553409)"
1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,"(40.7426475, -73.9964607)","(40.79278775796148, -74.02274601211232)"
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,"(40.7219323, -73.9976726)","(40.679062262317025, -73.9677459288311)"
1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,"(40.7244607, -73.9909251)","(40.69552086407133, -74.02708314268156)"
1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19,"(40.7651951, -73.9874674)","(40.75925879860015, -73.94961100813761)"
1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,"(40.7713448, -73.95278)","(40.807125691706844, -73.97270306634584)"
1478348,310051,Parm,Italian,14.99,Weekend,Not given,34,24,"(40.7230381, -73.9957182)","(40.71175942257824, -74.03986679345768)"
1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,"(40.7651951, -73.9874674)","(40.712807706399836, -73.96554302890023)"
1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,"(40.7513742, -73.9878729)","(40.77751075046651, -73.93862431002643)"
1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,"(40.7820656, -73.9806368)","(40.75967022587827, -74.03146358132064)"
1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28,"(40.7341879, -74.0064162)","(40.76529537407674, -73.96729806208134)"
1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,"(40.7341879, -74.0064162)","(40.70390543626628, -73.95612352402051)"
1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26,"(40.7079524, -74.0078296)","(40.69719871909413, -73.95019109132708)"
1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24,"(40.7651951, -73.9874674)","(40.765604842927516, -73.93821078508323)"
1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,"(40.77152, -73.9561132)","(40.73831719618126, -73.97727050920463)"
1477836,373689,Bareburger,American,12.08,Weekend,Not given,29,20,"(40.7431934, -73.9801954)","(40.77370829121821, -73.95269683797763)"
1477376,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24,"(40.7244607, -73.9909251)","(40.688456631722545, -74.006423909656)"
1476835,264707,TAO,Japanese,9.56,Weekend,5,21,17,"(40.7625746, -73.9714449)","(40.74739920404401, -74.00628237377785)"
1478174,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25,"(40.7713448, -73.95278)","(40.787461033675136, -73.89474030456716)"
1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,"(40.7651951, -73.9874674)","(40.782142319537364, -73.92748607541465)"
1477369,139085,Shake Shack,American,24.25,Weekday,Not given,32,24,"(40.7513742, -73.9878729)","(40.75008006424033, -73.94016381865336)"
1476969,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25,"(40.7079524, -74.0078296)","(40.67067641683981, -73.97443833549966)"
1477420,399478,Shake Shack,American,14.07,Weekend,Not given,25,28,"(40.7513742, -73.9878729)","(40.79906179465778, -74.00870040822322)"
1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,"(40.7230381, -73.9957182)","(40.70523116377075, -73.9656816779007)"
1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,"(40.7341879, -74.0064162)","(40.68902209683276, -73.99477140321345)"
1478219,41692,Shake Shack,American,22.8,Weekend,Not given,30,19,"(40.7513742, -73.9878729)","(40.77350288665292, -73.96173074402174)"
1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19,"(40.7079524, -74.0078296)","(40.73834292636531, -74.014280954177)"
1476809,385248,Shake Shack,American,12.95,Weekend,Not given,27,18,"(40.7513742, -73.9878729)","(40.73756186357181, -73.95720682515442)"
1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,"(40.7513742, -73.9878729)","(40.73668043248165, -73.94469961092622)"
1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,"(40.7820656, -73.9806368)","(40.746522138111445, -73.98894722332616)"
1477609,105068,TAO,Japanese,16.01,Weekend,Not given,26,16,"(40.7625746, -73.9714449)","(40.79019722491771, -73.98258266377195)"
1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,"(40.7191453, -74.0089504)","(40.7183990970774, -74.05769164234835)"
1476769,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33,"(40.7606902, -73.9895916)","(40.804687153407365, -73.94960328478146)"
1477185,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21,"(40.7526965, -73.9846551)","(40.79000987315446, -73.96087877429451)"
1477752,298824,Shake Shack,American,16.25,Weekday,3,30,24,"(40.7513742, -73.9878729)","(40.71845714714419, -73.96222897835636)"
1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,"(40.7651951, -73.9874674)","(40.74598603826188, -74.01576532877131)"
1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,"(40.7526965, -73.9846551)","(40.751514603095735, -74.03478550976408)"
1478305,62359,Rubirosa,Italian,8.0,Weekday,4,27,29,"(40.7227225, -73.9961142)","(40.68527293017814, -74.02875661183005)"
1476751,347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22,"(40.7079524, -74.0078296)","(40.736123489342944, -74.03648716936601)"
1477831,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,"(40.7820656, -73.9806368)","(40.826152676058335, -73.95183682005347)"
1477955,198936,Five Leaves,American,10.24,Weekday,Not given,22,25,"(40.723735950000005, -73.95164194773636)","(40.6970729288242, -74.0068192576805)"
1476725,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,"(40.7382829, -73.9880343)","(40.69542053002135, -74.01469270474699)"
1476688,200672,Cafe Mogador,Middle Eastern,13.0,Weekend,Not given,21,15,"(40.7273469, -73.984402)","(40.6969973665415, -73.98918362141231)"
1476878,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16,"(40.7820656, -73.9806368)","(40.80681395398577, -73.96283075008445)"
1476805,93133,Parm,Italian,22.8,Weekday,5,33,33,"(40.7230381, -73.9957182)","(40.75810282751547, -73.93857281084296)"
1478093,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,"(40.7382829, -73.9880343)","(40.76674323471484, -73.99977660287011)"
1478201,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,"(40.7820656, -73.9806368)","(40.79393284147535, -73.95401263162285)"
1476606,350085,The Meatball Shop,Italian,17.03,Weekday,Not given,22,29,"(40.7651951, -73.9874674)","(40.71245151234488, -73.98574096219112)"
1477570,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,"(40.8024602, -73.9502299)","(40.775859181419165, -74.00191409761203)"
1476808,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,"(40.7468928, -74.0050275)","(40.71147537776733, -74.02804775409568)"
1476610,53212,TAO,Japanese,12.27,Weekday,Not given,26,29,"(40.7625746, -73.9714449)","(40.7142498973752, -73.96399136550824)"
1476875,373353,indikitch,Indian,22.26,Weekend,Not given,35,16,"(40.7421269, -73.9905046)","(40.720899287205256, -73.97966940238615)"
1476829,79255,The Meatball Shop,Italian,6.79,Weekend,Not given,26,15,"(40.7651951, -73.9874674)","(40.753856744740126, -74.02165821644712)"
1477366,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,"(40.7875393, -73.9764459)","(40.783952334448685, -74.01158476669794)"
1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,"(40.7651951, -73.9874674)","(40.73019954753824, -73.99289830583156)"
1477872,300670,Shake Shack,American,13.39,Weekend,Not given,30,22,"(40.7513742, -73.9878729)","(40.7175169477757, -74.01192983288917)"
1478417,87747,Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15,"(40.7244607, -73.9909251)","(40.753175361236224, -73.98417790612591)"
1477401,326426,Sushi of Gari,Japanese,29.15,Weekend,Not given,34,24,"(40.7713448, -73.95278)","(40.74972790489394, -73.9111393438981)"
1477835,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29,"(40.7244607, -73.9909251)","(40.71087304932025, -74.04990709604479)"
1477519,140477,Momoya,Japanese,31.43,Weekend,Not given,24,17,"(40.7426475, -73.9964607)","(40.734891619877644, -74.03359552533277)"
1478313,160957,Momoya,Japanese,12.18,Weekend,4,27,25,"(40.7426475, -73.9964607)","(40.78360030017408, -73.9571255941972)"
1477290,361509,Shake Shack,American,19.35,Weekday,Not given,35,33,"(40.7513742, -73.9878729)","(40.71273853925804, -74.04770092864808)"
1476648,169478,RedFarm Broadway,Chinese,19.35,Weekend,Not given,24,28,"(40.7820656, -73.9806368)","(40.77205811495936, -73.92652084292857)"
1478089,134294,Shake Shack,American,15.28,Weekday,4,30,29,"(40.7513742, -73.9878729)","(40.70597953875143, -74.01324729630048)"
1477768,279895,Shake Shack,American,9.6,Weekday,4,35,28,"(40.7513742, -73.9878729)","(40.74435782367137, -73.93364331105457)"
1477424,81110,Han Dynasty,Chinese,12.95,Weekend,Not given,20,25,"(40.7875393, -73.9764459)","(40.81001739439061, -73.93060377293332)"
1478378,384391,Shake Shack,American,8.88,Weekend,5,27,23,"(40.7513742, -73.9878729)","(40.72996119154831, -73.95482708712926)"
1477493,328357,Shake Shack,American,15.96,Weekend,3,30,21,"(40.6437718, -74.0758827)","(40.66389808867995, -74.03766900092235)"
1478092,41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16,"(40.7298568, -74.0035384)","(40.757659446204116, -73.99752007295731)"
1478157,58871,Shake Shack,American,8.05,Weekday,4,25,27,"(40.6437718, -74.0758827)","(40.6667207242447, -74.13299782856227)"
1478343,231042,Momoya,Japanese,8.54,Weekday,4,28,29,"(40.7426475, -73.9964607)","(40.73736607956132, -73.9365563800178)"
1477675,76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18,"(40.7875393, -73.9764459)","(40.7760301441107, -73.94056674126394)"
1476799,389740,L'Express,French,19.69,Weekend,3,26,17,"(40.7380991, -73.9876326)","(40.7524408814242, -74.02035265045481)"
1476598,41168,Parm,Italian,12.13,Weekend,3,34,22,"(40.7230381, -73.9957182)","(40.75577900018096, -73.97412972271043)"
1477277,59749,Bareburger,American,16.49,Weekday,Not given,31,27,"(40.7216328, -73.9885495)","(40.727478357264054, -73.93115067560203)"
1477047,42832,5 Napkin Burger,American,9.27,Weekend,Not given,34,30,"(40.7601614, -73.9911074)","(40.78110353507846, -73.92390904402623)"
1478173,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26,"(40.7875393, -73.9764459)","(40.835351592472826, -73.9710737849379)"
1477528,128963,Han Dynasty,Chinese,5.67,Weekday,4,21,31,"(40.7875393, -73.9764459)","(40.74245369253781, -74.01713896878864)"
1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24,"(40.7079524, -74.0078296)","(40.67983648958638, -74.02578149695624)"
1476696,231061,Han Dynasty,Chinese,33.03,Weekday,Not given,33,31,"(40.7875393, -73.9764459)","(40.73220979650824, -73.98475418861524)"
1478189,105138,Han Dynasty,Chinese,8.97,Weekend,4,33,19,"(40.7875393, -73.9764459)","(40.75904395762792, -73.9808206776222)"
1476698,142461,Delicatessen,American,11.64,Weekend,Not given,27,27,"(40.6587771, -73.9819448)","(40.68314811204708, -74.04051102239475)"
1478290,263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23,"(40.7606902, -73.9895916)","(40.791920150135326, -74.0071019837645)"
1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30,"(40.7079524, -74.0078296)","(40.74882850466348, -74.05762789235133)"
1477247,385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28,"(40.7244607, -73.9909251)","(40.733054574554345, -74.05290344327341)"
1477048,200074,Osteria Morini,Italian,9.07,Weekend,Not given,33,16,"(40.7219323, -73.9976726)","(40.70251546482932, -73.97580016842903)"
1477615,136876,Rubirosa,Italian,14.07,Weekend,5,35,16,"(40.7227225, -73.9961142)","(40.73890144515668, -74.02743776702037)"
1476566,103884,S'MAC,American,14.46,Weekend,Not given,34,17,"(40.7301897, -73.9836385)","(40.70780776631395, -73.96056457438092)"
1477765,92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19,"(40.7191453, -74.0089504)","(40.740184291215215, -73.98649460487182)"
1476753,195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28,"(40.7228449, -73.9942284)","(40.70870655743047, -73.93249074052568)"
1476759,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20,"(40.7606902, -73.9895916)","(40.773608207401, -73.94604436140632)"
1477603,399121,Blue Ribbon Sushi,Japanese,11.3,Weekday,Not given,24,24,"(40.7079524, -74.0078296)","(40.73927401433275, -73.98811185696499)"
1478246,260680,Delicatessen,American,32.98,Weekend,5,34,16,"(40.6587771, -73.9819448)","(40.63138342283754, -73.99036589838165)"
1477029,295111,The Meatball Shop,Italian,13.0,Weekday,5,23,26,"(40.7651951, -73.9874674)","(40.719285649822716, -73.96584633278663)"
1478179,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27,"(40.7875393, -73.9764459)","(40.780738606176456, -74.03909039053708)"
1477679,120833,Bareburger,American,16.25,Weekend,Not given,29,15,"(40.7216328, -73.9885495)","(40.742039282198185, -74.00772256806756)"
1477810,94483,Bistango,Italian,24.2,Weekend,Not given,28,21,"(40.7563844, -73.9713268)","(40.76052228480598, -73.92477923852132)"
1477342,49631,The Meatball Shop,Italian,14.31,Weekend,Not given,23,17,"(40.7651951, -73.9874674)","(40.734010189030656, -73.99251994308155)"
1478133,114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20,"(40.7079524, -74.0078296)","(40.67912788009184, -74.04660897292513)"
1477756,251607,Shake Shack,American,14.12,Weekday,Not given,31,28,"(40.6437718, -74.0758827)","(40.67428528531112, -74.11837448578167)"
1477587,92726,Hatsuhana,Japanese,8.97,Weekend,4,25,26,"(40.7568939, -73.9769041)","(40.73403410644112, -73.92192758497592)"
1477887,69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21,"(40.7820656, -73.9806368)","(40.80549784269672, -73.94504054718088)"
1478366,270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18,"(40.7141481, -73.96014)","(40.73886538229936, -73.98165143821996)"
1478279,354016,Waverly Diner,American,19.4,Weekend,5,25,23,"(40.7331105, -74.0001672)","(40.69761966731577, -73.997577964026)"
1476819,104548,Tarallucci e Vino Restaurant,Italian,29.1,Weekday,Not given,28,33,"(40.7843472, -73.9734775)","(40.833311371356274, -73.9462327626256)"
1477394,105754,Momoya,Japanese,14.02,Weekday,4,24,30,"(40.7426475, -73.9964607)","(40.740552283560234, -74.07081992139358)"
1476667,157578,P.J. Clarke's,American,6.11,Weekend,4,27,25,"(40.7589826, -73.9682301)","(40.74171145922965, -74.03081361496781)"
1476975,350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26,"(40.7244607, -73.9909251)","(40.767456285110676, -73.96700382090822)"
