,Unnamed: 0.1,Unnamed: 0,Time,Lat,Lon,Street,Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Astronomical_Twilight
92,92,92,2016-12-23 15:49:43,40.782818,-73.943871,East 96th Street,10.0,5.8,,Clear,Day
93,93,93,2016-12-24 15:53:23,40.84982700000001,-73.943115,George Washington Bridge,10.0,3.5,,Clear,Day
94,94,94,2016-12-25 10:05:00,40.726696,-73.972008,FDR Drive,,3.5,,Clear,Day
95,95,95,2016-12-25 16:36:56,40.735207,-73.991714,East 14th Street,,10.4,,Clear,Day
96,96,96,2016-12-26 07:14:34,40.760685,-73.956726,FDR Drive,10.0,6.9,,Mostly Cloudy,Day
97,97,97,2016-12-27 06:28:19,40.718464,-73.99479699999998,Bowery,,13.8,,Overcast,Day
98,98,98,2016-12-27 08:19:57,40.817947,-73.961731,Saint Clair Place,10.0,,,Overcast,Day
99,99,99,2016-12-27 17:52:32,40.782818,-73.943871,East 96th Street,10.0,11.5,,Clear,Day
100,100,100,2016-12-27 21:29:09,40.778885,-73.943268,FDR Drive,10.0,9.2,,Clear,Night
101,101,101,2016-12-28 11:40:43,40.84584,-73.931061,5th Avenue,10.0,,,Overcast,Day
102,102,102,2016-12-28 13:32:58,40.851543,-73.95208000000002,George Washington Bridge,10.0,5.8,,Overcast,Day
103,103,103,2016-12-28 14:55:18,40.851543,-73.95208000000002,George Washington Bridge,10.0,8.1,,Overcast,Day
104,104,104,2016-12-28 17:10:53,40.707687,-74.000076,FDR Drive,,6.9,,Overcast,Day
105,105,105,2016-12-29 07:22:49,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Overcast,Day
106,106,106,2016-12-29 09:33:09,40.759628,-73.995476,West 42nd Street,4.0,5.8,0.05,Light Rain,Day
107,107,107,2016-12-29 13:20:54,40.80416500000001,-73.931038,Harlem River Drive North,3.0,6.9,0.02,Light Rain,Day
108,108,108,2016-12-29 17:49:40,40.834126,-73.949951,Marginal Street,10.0,9.2,,Partly Cloudy,Day
109,109,109,2016-12-30 05:08:52,40.793903,-73.932022,FDR Drive,10.0,8.1,,Clear,Night
110,110,110,2016-12-30 12:11:52,40.778854,-73.943253,East 91st Street,10.0,12.7,,Overcast,Day
111,111,111,2016-12-30 12:40:26,40.84584,-73.931061,5th Avenue,10.0,9.2,,Overcast,Day
112,112,112,2016-12-30 19:11:54,40.74802800000001,-73.96817,FDR Drive,10.0,12.7,,Scattered Clouds,Night
113,113,113,2017-01-02 15:31:15,40.850067,-73.944817,George Washington Bridge,9.0,10.4,0.02,Overcast,Day
114,114,114,2017-01-02 16:47:54,40.707687,-74.000076,FDR Drive,,12.7,9.99,Overcast,Day
115,115,115,2017-01-02 18:13:53,40.773731,-73.964012,East 75th Street,2.5,10.4,0.02,Light Rain,Day
116,116,116,2017-01-02 21:41:33,40.85067,-73.94710500000002,George Washington Bridge,5.0,11.5,,Overcast,Night
117,117,117,2017-01-03 14:58:16,40.706146,-74.01458000000002,Greenwich Street,,18.4,0.01,Overcast,Day
118,118,118,2017-01-04 13:46:57,40.74802800000001,-73.96817,FDR Drive,10.0,11.5,,Mostly Cloudy,Day
119,119,119,2017-01-04 14:32:18,40.74802800000001,-73.96817,FDR Drive,10.0,,,Scattered Clouds,Day
120,120,120,2017-01-04 18:55:41,40.851543,-73.95208000000002,George Washington Bridge,10.0,17.3,,Clear,Night
121,121,121,2017-01-05 16:16:11,40.851543,-73.95208000000002,George Washington Bridge,10.0,,,Clear,Day
122,122,122,2017-01-05 18:26:26,40.782818,-73.943871,East 96th Street,10.0,12.7,,Overcast,Night
123,123,123,2017-01-05 19:42:20,40.755348,-73.96167,FDR Drive,10.0,9.2,,Mostly Cloudy,Night
124,124,124,2017-01-06 10:59:21,40.850067,-73.944817,George Washington Bridge,10.0,6.9,,Clear,Day
125,125,125,2017-01-06 20:23:44,40.80416500000001,-73.931038,Harlem River Drive North,10.0,9.2,,Clear,Night
126,126,126,2017-01-07 22:21:47,40.710903,-74.003632,Gold Street,,4.6,,Overcast,Night
127,127,127,2017-01-08 08:01:33,40.77883900000001,-73.94324499999998,East 91st Street,8.0,9.2,,Mostly Cloudy,Day
128,128,128,2017-01-08 14:05:36,40.849434,-73.941795,5th Avenue,10.0,9.2,,Mostly Cloudy,Day
129,129,129,2017-01-08 15:14:59,40.757175,-73.997238,10th Avenue,10.0,9.2,,Mostly Cloudy,Day
130,130,130,2017-01-08 17:31:56,40.84584,-73.931061,5th Avenue,10.0,10.4,,Clear,Day
131,131,131,2017-01-08 20:09:25,40.796597,-73.97592900000002,Henry Hudson Parkway,10.0,9.2,,Clear,Night
132,132,132,2017-01-09 06:29:59,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Clear,Day
133,133,133,2017-01-09 07:00:43,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Clear,Day
134,134,134,2017-01-09 08:13:10,40.75637800000001,-73.964325,East 54th Street,10.0,,,Clear,Day
135,135,135,2017-01-09 08:37:28,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,4.6,,Clear,Day
136,136,136,2017-01-09 09:47:51,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,5.8,,Clear,Day
137,137,137,2017-01-09 10:21:14,40.834126,-73.949951,Marginal Street,10.0,,,Clear,Day
138,138,138,2017-01-09 12:49:11,40.828003,-73.93465400000002,Adam Clayton Powell Jr Blvd,10.0,6.9,,Scattered Clouds,Day
139,139,139,2017-01-10 08:11:37,40.84584,-73.931061,5th Avenue,10.0,,,Clear,Day
140,140,140,2017-01-10 08:29:24,40.707321,-74.015404,I-478 West,,4.6,,Clear,Day
141,141,141,2017-01-10 09:39:39,40.778961,-73.943428,FDR Drive,10.0,3.5,,Clear,Day
142,142,142,2017-01-10 13:24:29,40.851543,-73.95208000000002,George Washington Bridge,10.0,4.6,,Overcast,Day
143,143,143,2017-01-10 20:47:36,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,5.8,,Overcast,Night
144,144,144,2017-01-11 07:01:43,40.845657,-73.92932900000002,Alexander Hamilton Bridge East,10.0,9.2,,Partly Cloudy,Day
145,145,145,2017-01-11 08:24:51,40.850067,-73.944817,George Washington Bridge,10.0,,,Clear,Day
146,146,146,2017-01-11 09:52:30,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,5.8,,Clear,Day
147,147,147,2017-01-11 09:52:49,40.782818,-73.943871,East 96th Street,10.0,5.8,,Clear,Day
148,148,148,2017-01-11 09:59:20,40.798363,-73.975441,Henry Hudson Parkway,10.0,5.8,,Clear,Day
149,149,149,2017-01-11 10:23:23,40.841846,-73.93160999999998,Harlem River Drive South,10.0,4.6,,Clear,Day
150,150,150,2017-01-12 06:12:02,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,5.8,,Overcast,Day
151,151,151,2017-01-12 08:00:31,40.718971,-73.974968,E Houston Street,,6.9,,Overcast,Day
152,152,152,2017-01-12 08:03:26,40.850067,-73.944817,George Washington Bridge,10.0,10.4,,Overcast,Day
153,153,153,2017-01-12 10:08:56,40.850067,-73.944817,George Washington Bridge,10.0,9.2,,Overcast,Day
154,154,154,2017-01-12 10:31:53,40.74802800000001,-73.96817,FDR Drive,10.0,6.9,,Partly Cloudy,Day
155,155,155,2017-01-12 13:41:05,40.782818,-73.943871,East 96th Street,10.0,8.1,,Scattered Clouds,Day
156,156,156,2017-01-12 16:17:54,40.81155,-73.934776,Harlem River Drive South,10.0,9.2,,Clear,Day
157,157,157,2017-01-13 05:47:22,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,8.1,,Mostly Cloudy,Day
158,158,158,2017-01-13 08:12:46,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Clear,Day
159,159,159,2017-01-13 08:21:03,40.850067,-73.944817,George Washington Bridge,10.0,3.5,,Clear,Day
160,160,160,2017-01-13 08:41:30,40.792248,-73.946281,Lexington Avenue,10.0,12.7,,Clear,Day
161,161,161,2017-01-13 11:02:36,40.781536,-73.986778,Henry Hudson Parkway,10.0,6.9,,Clear,Day
162,162,162,2017-01-13 19:21:01,40.74802800000001,-73.96817,FDR Drive,10.0,4.6,,Clear,Night
163,163,163,2017-01-14 00:35:06,40.709515,-73.991943,Manhattan Bridge,,3.5,,Clear,Night
164,164,164,2017-01-14 02:03:14,40.714493,-73.976715,FDR Drive,,5.8,,Clear,Night
165,165,165,2017-01-14 05:51:33,40.765228,-73.951904,FDR Drive,10.0,6.9,,Clear,Day
166,166,166,2017-01-14 06:14:19,40.744328,-73.971397,Franklin Delano Roosevelt Drive Service Rd West,10.0,6.9,,Clear,Day
167,167,167,2017-01-14 15:57:07,40.850067,-73.944817,George Washington Bridge,0.2,3.5,0.03,Snow,Day
168,168,168,2017-01-15 08:46:46,40.735397,-73.974899,FDR Drive,,5.8,,Clear,Day
169,169,169,2017-01-15 10:30:08,40.785748,-73.92987099999998,Robert F Kennedy Bridge East,10.0,,,Clear,Day
170,170,170,2017-01-15 21:10:13,40.776707,-73.942589,FDR Drive,10.0,3.5,,Clear,Night
171,171,171,2017-01-16 08:53:59,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,,,Clear,Day
172,172,172,2017-01-16 17:35:19,40.851543,-73.95208000000002,George Washington Bridge,10.0,4.6,,Clear,Day
173,173,173,2017-01-16 18:25:09,40.718971,-73.974968,E Houston Street,,4.6,9.99,Clear,Day
174,174,174,2017-01-17 05:32:00,40.765228,-73.951904,FDR Drive,9.0,5.8,,Mostly Cloudy,Night
175,175,175,2017-01-17 07:08:55,40.718971,-73.974968,E Houston Street,,4.6,,Overcast,Day
176,176,176,2017-01-17 07:41:23,40.722542,-74.00140400000002,Greene Street,,4.6,,Overcast,Day
177,177,177,2017-01-17 14:03:46,40.759762,-73.960991,Ed Koch Queensboro Bridge West,2.5,8.1,,Overcast,Day
178,178,178,2017-01-17 20:26:36,40.759762,-73.960991,Ed Koch Queensboro Bridge West,2.5,9.2,0.01,Light Rain,Night
179,179,179,2017-01-18 07:26:51,40.849899,-73.943916,George Washington Bridge,6.0,5.8,,Overcast,Day
180,180,180,2017-01-18 13:48:31,40.851543,-73.95208000000002,George Washington Bridge,9.0,9.2,,Overcast,Day
181,181,181,2017-01-18 14:48:37,40.765888,-73.951431,FDR Drive,10.0,6.9,,Overcast,Day
182,182,182,2017-01-18 14:58:06,40.779881,-73.94384000000002,FDR Drive,10.0,6.9,,Overcast,Day
183,183,183,2017-01-18 17:46:29,40.759762,-73.960991,Ed Koch Queensboro Bridge West,10.0,3.5,,Overcast,Day
184,184,184,2017-01-19 07:49:35,40.742901,-73.992798,Avenue of the Americas,10.0,3.5,,Clear,Day
185,185,185,2017-01-19 10:46:12,40.75544,-73.96210500000002,East 54th Street,10.0,6.9,,Clear,Day
186,186,186,2017-01-19 12:10:54,40.715961,-73.99593399999998,Manhattan Bridge South,,3.5,9.99,Clear,Day
187,187,187,2017-01-19 13:36:57,40.778812,-73.974075,Central Park West,10.0,8.1,,Overcast,Day
188,188,188,2017-01-19 15:13:47,40.84603900000001,-73.93024399999999,Trans-Manhattan Expy West,10.0,3.5,,Overcast,Day
189,189,189,2017-01-19 17:36:08,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,,,Overcast,Day
190,190,190,2017-01-19 18:38:09,40.817947,-73.961731,Saint Clair Place,10.0,6.9,,Overcast,Night
191,191,191,2017-01-20 04:05:41,40.810776,-73.952606,Saint Nicholas Avenue,10.0,5.8,,Overcast,Night
192,192,192,2017-01-20 04:44:57,40.727825,-73.99477399999998,West 3rd Street,,8.1,,Overcast,Night
193,193,193,2017-01-20 05:35:11,40.771381,-73.956474,2nd Avenue,10.0,3.5,,Overcast,Night
194,194,194,2017-01-21 09:22:15,40.80416500000001,-73.931038,Harlem River Drive North,5.0,,,Overcast,Day
195,195,195,2017-01-21 14:26:49,40.802647,-73.930199,Harlem River Drive North,5.0,3.5,,Clear,Day
196,196,196,2017-01-21 19:46:39,40.779087,-73.943359,FDR Drive,3.0,,,Overcast,Night
197,197,197,2017-01-22 09:58:26,40.872883,-73.91214000000002,Broadway,0.0,8.1,,Fog,Day
198,198,198,2017-01-22 10:49:33,40.764324,-73.977203,Avenue of the Americas,3.0,5.8,,Overcast,Day
199,199,199,2017-01-22 14:46:54,40.782818,-73.943871,East 96th Street,6.0,11.5,,Overcast,Day
200,200,200,2017-01-22 18:20:42,40.782818,-73.943871,East 96th Street,8.0,8.1,,Overcast,Day
201,201,201,2017-01-23 19:21:12,40.764923,-73.972534,Grand Army Placez,4.0,17.3,0.17,Light Rain,Night
202,202,202,2017-01-24 04:59:32,40.725643,-74.01106999999998,West Street,5.0,15.0,0.01,Light Rain,Night
203,203,203,2017-01-24 05:17:50,40.742451,-74.008781,West Street,5.0,10.4,,Overcast,Night
204,204,204,2017-01-24 05:47:59,40.795471,-73.965622,Columbus Avenue,3.0,11.5,0.04,Overcast,Day
205,205,205,2017-01-24 08:33:50,40.830215,-73.939766,West 155th Street,4.0,15.0,,Overcast,Day
206,206,206,2017-01-24 10:34:34,40.742702,-73.98451999999997,East 27th Street,6.0,6.9,0.0,Overcast,Day
207,207,207,2017-01-24 10:55:50,40.753323,-73.972588,3rd Avenue,6.0,6.9,0.0,Overcast,Day
208,208,208,2017-01-24 15:36:10,40.866863,-73.93195300000002,Henry Hudson Parkway,5.0,21.9,0.01,Rain,Day
209,209,209,2017-01-25 07:33:37,40.850067,-73.944817,George Washington Bridge,10.0,5.8,,Clear,Day
210,210,210,2017-01-25 09:45:12,40.850067,-73.944817,George Washington Bridge,10.0,9.2,,Clear,Day
211,211,211,2017-01-25 10:29:15,40.850067,-73.944817,George Washington Bridge,10.0,8.1,,Clear,Day
212,212,212,2017-01-25 11:40:49,40.755348,-73.96167,FDR Drive,10.0,8.1,,Clear,Day
213,213,213,2017-01-25 11:41:59,40.755348,-73.96167,FDR Drive,10.0,8.1,,Clear,Day
214,214,214,2017-01-25 11:39:39,40.760159,-73.957504,FDR Drive,10.0,8.1,,Clear,Day
215,215,215,2017-01-25 14:18:34,40.851543,-73.95208000000002,George Washington Bridge,10.0,13.8,,Partly Cloudy,Day
216,216,216,2017-01-25 14:57:07,40.752464,-73.96419499999998,FDR Drive,10.0,10.4,,Partly Cloudy,Day
217,217,217,2017-01-25 15:48:23,40.817947,-73.961731,Saint Clair Place,10.0,5.8,,Clear,Day
218,218,218,2017-01-25 22:55:19,40.71413,-73.999985,Worth Street,10.0,6.9,,Overcast,Night
219,219,219,2017-01-26 06:18:20,40.759945,-73.961479,Ed Koch Queensboro Bridge,10.0,3.5,,Mostly Cloudy,Day
220,220,220,2017-01-26 11:21:05,40.733677,-73.999496,West 8th Street,10.0,,0.0,Overcast,Day
221,221,221,2017-01-26 11:22:08,40.850067,-73.944817,George Washington Bridge,10.0,,,Overcast,Day
222,222,222,2017-01-26 13:10:51,40.708187,-73.999374,Brooklyn Bridge,10.0,8.1,9.97,Scattered Clouds,Day
223,223,223,2017-01-26 14:25:13,40.841084,-73.939774,Broadway,10.0,12.7,,Overcast,Day
224,224,224,2017-01-26 16:16:43,40.831905,-73.935287,Harlem River Drive South,10.0,17.3,,Overcast,Day
225,225,225,2017-01-26 17:36:32,40.782818,-73.943871,East 96th Street,10.0,3.5,,Overcast,Day
226,226,226,2017-01-26 18:46:32,40.782818,-73.943871,East 96th Street,10.0,6.9,,Overcast,Night
227,227,227,2016-10-20 20:51:52,40.80928,-73.93494399999999,Harlem River Drive South,6.0,6.9,,Haze,Night
228,228,228,2016-10-21 05:05:14,40.785057,-73.93,Robert F Kennedy Bridge East,8.0,3.5,,Scattered Clouds,Night
229,229,229,2016-10-21 14:51:27,40.851543,-73.95208000000002,George Washington Bridge,9.0,,0.05,Overcast,Day
230,230,230,2016-10-21 14:52:52,40.834126,-73.949951,Marginal Street,9.0,,0.05,Overcast,Day
231,231,231,2016-10-21 16:21:34,40.718971,-73.974968,E Houston Street,,,,,Day
232,232,232,2016-10-21 22:10:22,40.853569,-73.93836999999998,Pinehurst Avenue,2.5,,,Mostly Cloudy,Night
233,233,233,2016-10-22 02:19:36,40.707687,-74.000076,FDR Drive,,,,,Night
234,234,234,2016-10-22 20:37:17,40.727013,-73.971954,FDR Drive,,,,,Night
235,235,235,2016-10-24 08:07:13,40.804005,-73.927925,WillisAvenue Bridge,10.0,3.5,,Clear,Day
236,236,236,2016-10-24 10:29:41,40.850067,-73.944817,George Washington Bridge,10.0,8.1,,Mostly Cloudy,Day
237,237,237,2016-10-24 11:29:08,40.707687,-74.000076,FDR Drive,,,,,Day
238,238,238,2016-10-24 17:23:58,40.746136,-73.973747,Tunnel Approach Street,10.0,5.8,,Partly Cloudy,Day
239,239,239,2016-10-25 06:13:57,40.80127,-73.929916,Robert F Kennedy Bridge,10.0,4.6,,Overcast,Day
240,240,240,2016-10-25 06:31:03,40.793903,-73.932022,FDR Drive,10.0,5.8,,Scattered Clouds,Day
241,241,241,2016-10-25 08:30:54,40.758533,-73.988846,West 44th Street,10.0,9.2,,Mostly Cloudy,Day
242,242,242,2016-10-26 12:13:12,40.849724,-73.94304699999998,George Washington Bridge,10.0,5.8,,Clear,Day
243,243,243,2016-10-26 14:06:52,40.851429,-73.951195,George Washington Bridge,10.0,6.9,,Partly Cloudy,Day
244,244,244,2016-10-26 15:27:28,40.782818,-73.943871,East 96th Street,10.0,,,Clear,Day
245,245,245,2016-10-26 18:28:17,40.785564,-73.984062,Henry Hudson Parkway,10.0,3.5,,Clear,Day
