restaurant_name,restaurant_location,day_of_the_week,dish_name,preparation_time
Blue Ribbon Brooklyn,"(40.6249044, -73.962921)",Weekday,Hot Dogs,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Hot Pot,18
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
Osteria Morini,"(40.7219323, -73.9976726)",Weekend,Arancini,15
Osteria Morini,"(40.7219323, -73.9976726)",Weekend,Ossobuco,19
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Chicken Tenders,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Chicken Tenders,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,16
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Parm,"(40.7230381, -73.9957182)",Weekend,Risotto,17
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Haandi,"(40.7424095, -73.9824519)",Weekday,Samosa,12
Haandi,"(40.7424095, -73.9824519)",Weekday,Samosa,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Rigatoni all'Amatriciana,18
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Rogan Josh,16
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Samosa,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Dumplings,14
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Kung Pao Chicken,17
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Yangzhou Fried Rice,19
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Chow Mein,15
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,15
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Chicken Tenders,18
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Pizza,19
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Burgers,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Risotto,18
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Spaghetti con Salsa di Pomodoro,16
Tortaria,"(40.7338759, -73.993044)",Weekend,Chiles en Nogada,16
Tortaria,"(40.7338759, -73.993044)",Weekend,Guacamole,12
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,10
TAO,"(40.7625746, -73.9714449)",Weekday,Ichiju-ju,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Chicken Tenders,19
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Chote Nawab,"(40.7424809, -73.982394)",Weekend,Chaat,15
Chote Nawab,"(40.7424809, -73.982394)",Weekend,Samosa,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Kung Pao Chicken,15
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Xi'an Famous Foods,"(40.7401797, -74.0019721)",Weekday,Peking Roasted Duck,20
Xi'an Famous Foods,"(40.7401797, -74.0019721)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,14
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Tater Tots,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Reuben Sandwich,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Buffalo Chicken Wings,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Buffalo Chicken Wings,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,French Fries,15
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Tamales,12
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Chiles Rellenos,20
Cafe Habana,"(40.7228449, -73.9942284)",Weekday,Guacamole,12
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Pasta Carbonara,18
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Apple Pie,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakisoba (noodles saltati),16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pizza,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
TAO,"(40.7625746, -73.9714449)",Weekend,Sushi,17
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tempura,15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sushi,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,14
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Buffalo Chicken Wings,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Bareburger,"(40.7431934, -73.9801954)",Weekday,Chicken Tenders,17
Bareburger,"(40.7431934, -73.9801954)",Weekday,Hot Dogs,12
The Odeon,"(40.716972, -74.0078817)",Weekday,Burgers,15
The Odeon,"(40.716972, -74.0078817)",Weekday,Burgers,16
Parm,"(40.7230381, -73.9957182)",Weekday,Risotto,13
Parm,"(40.7230381, -73.9957182)",Weekday,Arancini,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Barbecue Ribs,18
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Pizza,20
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Momoya,"(40.7426475, -73.9964607)",Weekday,Sashimi,20
Momoya,"(40.7426475, -73.9964607)",Weekday,Nigiri,12
Osteria Morini,"(40.7219323, -73.9976726)",Weekend,Ragù Bolognese,16
Osteria Morini,"(40.7219323, -73.9976726)",Weekend,Arancini,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Apple Pie,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Burgers,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,French Fries,15
Sushi of Gari,"(40.7713448, -73.95278)",Weekday,Tsukemono (sottaceti),13
Sushi of Gari,"(40.7713448, -73.95278)",Weekday,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekend,Rigatoni all'Amatriciana,18
Parm,"(40.7230381, -73.9957182)",Weekend,Spaghetti con Salsa di Pomodoro,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ossobuco,17
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork,16
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Kung Pao Chicken,17
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Congee,20
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork,14
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Yangzhou Fried Rice,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),15
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,17
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta Carbonara,14
Boqueria,"(40.77152, -73.9561132)",Weekend,Churros,10
Boqueria,"(40.77152, -73.9561132)",Weekend,Paella,20
Bareburger,"(40.7431934, -73.9801954)",Weekend,French Fries,13
Bareburger,"(40.7431934, -73.9801954)",Weekend,Burgers,16
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Tater Tots,13
TAO,"(40.7625746, -73.9714449)",Weekend,Kaiseki,20
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Sushi of Gari,"(40.7713448, -73.95278)",Weekday,Sushi,20
Sushi of Gari,"(40.7713448, -73.95278)",Weekday,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Ragù Bolognese,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,French Fries,16
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Burgers,16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Kaiseki,17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Parm,"(40.7230381, -73.9957182)",Weekend,Lasagna,20
Parm,"(40.7230381, -73.9957182)",Weekend,Pasta alla Gricia,15
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Peking Roasted Duck,20
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,20
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Barbecue Ribs,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Apple Pie,16
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,16
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Congee,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Fish-Flavored Shredded Pork,13
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,14
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Dal,15
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Samosa,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Tsukemono (sottaceti),18
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekday,Yakitori,13
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Butter Chicken,14
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Dosa,20
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Samosa,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Apple Pie,16
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Buffalo Chicken Wings,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Lasagna,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Korma,16
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Samosa,12
Rubirosa,"(40.7227225, -73.9961142)",Weekday,Arancini,10
Rubirosa,"(40.7227225, -73.9961142)",Weekday,Ragù Bolognese,17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,10
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sashimi,19
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Yangzhou Fried Rice,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,12
Five Leaves,"(40.723735950000005, -73.95164194773636)",Weekday,Reuben Sandwich,19
Five Leaves,"(40.723735950000005, -73.95164194773636)",Weekday,Hot Dogs,12
Barbounia,"(40.7382829, -73.9880343)",Weekend,Armenian Losh Kebab,18
Barbounia,"(40.7382829, -73.9880343)",Weekend,Greek Salad,13
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Falafel,11
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Hummus,13
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,14
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
Parm,"(40.7230381, -73.9957182)",Weekday,Risotto,15
Parm,"(40.7230381, -73.9957182)",Weekday,Rigatoni all'Amatriciana,18
Barbounia,"(40.7382829, -73.9880343)",Weekend,Mediterranean Quinoa Salad,15
Barbounia,"(40.7382829, -73.9880343)",Weekend,Mediterranean Falafel Bowls,14
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Dumplings,18
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Pasta Carbonara,11
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,13
Amy Ruth's,"(40.8024602, -73.9502299)",Weekend,"Tomato, Cheddar, and Bacon Cake",13
Amy Ruth's,"(40.8024602, -73.9502299)",Weekend,Hoppin’ John,17
Pepe Giallo,"(40.7468928, -74.0050275)",Weekday,Pizza,20
Pepe Giallo,"(40.7468928, -74.0050275)",Weekday,Arancini,13
TAO,"(40.7625746, -73.9714449)",Weekday,Ichiju-ju,14
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,12
indikitch,"(40.7421269, -73.9905046)",Weekend,Butter Chicken,15
indikitch,"(40.7421269, -73.9905046)",Weekend,Dosa,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Fish-Flavored Shredded Pork,13
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Peking Roasted Duck,20
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ragù Bolognese,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ossobuco,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Barbecue Ribs,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,16
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,15
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Miso Soup,16
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Sushi,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Tater Tots,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Momoya,"(40.7426475, -73.9964607)",Weekend,Nigiri,13
Momoya,"(40.7426475, -73.9964607)",Weekend,Nigiri,12
Momoya,"(40.7426475, -73.9964607)",Weekend,Tempura,14
Momoya,"(40.7426475, -73.9964607)",Weekend,Yakitori,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,11
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Fish-Flavored Shredded Pork,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Burgers,15
Shake Shack,"(40.7513742, -73.9878729)",Weekday,French Fries,15
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Burgers,17
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Chicken Tenders,18
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Peking Roasted Duck,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Chicken Tenders,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Buffalo Chicken Wings,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Grilled Chicken + Dill Greek Yogurt Sauce,20
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,13
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Momoya,"(40.7426475, -73.9964607)",Weekday,Sashimi,18
Momoya,"(40.7426475, -73.9964607)",Weekday,Nigiri,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,10
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
L'Express,"(40.7380991, -73.9876326)",Weekend,Ratatouille,11
L'Express,"(40.7380991, -73.9876326)",Weekend,Coq au vin,15
Parm,"(40.7230381, -73.9957182)",Weekend,Pasta alla Gricia,14
Parm,"(40.7230381, -73.9957182)",Weekend,Pizza,20
Bareburger,"(40.7431934, -73.9801954)",Weekday,Reuben Sandwich,16
Bareburger,"(40.7431934, -73.9801954)",Weekday,French Fries,15
5 Napkin Burger,"(40.7601614, -73.9911074)",Weekend,Chicken Tenders,17
5 Napkin Burger,"(40.7601614, -73.9911074)",Weekend,Reuben Sandwich,17
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Peking Roasted Duck,20
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Fish-Flavored Shredded Pork,13
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Hot Pot,16
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Yakitori,10
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Kung Pao Chicken,16
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Kung Pao Chicken,17
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Peking Roasted Duck,20
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Fish-Flavored Shredded Pork,13
Delicatessen,"(40.6587771, -73.9819448)",Weekend,Tater Tots,16
Delicatessen,"(40.6587771, -73.9819448)",Weekend,Hot Dogs,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Yakisoba (noodles saltati),16
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Sashimi,19
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,16
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,14
